team,other_team,game,teamid,otherid
abilenechristian,moreheadst,abilenechristian vs. moreheadst,1101,1287
abilenechristian,norfolkst,abilenechristian vs. norfolkst,1101,1313
abilenechristian,northcarolina,abilenechristian vs. northcarolina,1101,1314
abilenechristian,northtexas,abilenechristian vs. northtexas,1101,1317
abilenechristian,ohio,abilenechristian vs. ohio,1101,1325
abilenechristian,ohiost,abilenechristian vs. ohiost,1101,1326
abilenechristian,oklahoma,abilenechristian vs. oklahoma,1101,1328
abilenechristian,oklahomast,abilenechristian vs. oklahomast,1101,1329
abilenechristian,oralroberts,abilenechristian vs. oralroberts,1101,1331
abilenechristian,oregon,abilenechristian vs. oregon,1101,1332
abilenechristian,oregonst,abilenechristian vs. oregonst,1101,1333
abilenechristian,purdue,abilenechristian vs. purdue,1101,1345
abilenechristian,rutgers,abilenechristian vs. rutgers,1101,1353
abilenechristian,sandiegost,abilenechristian vs. sandiegost,1101,1361
abilenechristian,ucsantabarbara,abilenechristian vs. ucsantabarbara,1101,1364
abilenechristian,stbonaventure,abilenechristian vs. stbonaventure,1101,1382
abilenechristian,syracuse,abilenechristian vs. syracuse,1101,1393
abilenechristian,tennessee,abilenechristian vs. tennessee,1101,1397
abilenechristian,texas,abilenechristian vs. texas,1101,1400
abilenechristian,texastech,abilenechristian vs. texastech,1101,1403
abilenechristian,texassouthern,abilenechristian vs. texassouthern,1101,1411
abilenechristian,ucla,abilenechristian vs. ucla,1101,1417
abilenechristian,uncgreensboro,abilenechristian vs. uncgreensboro,1101,1422
abilenechristian,southerncalifornia,abilenechristian vs. southerncalifornia,1101,1425
abilenechristian,utahst,abilenechristian vs. utahst,1101,1429
abilenechristian,vcu,abilenechristian vs. vcu,1101,1433
abilenechristian,villanova,abilenechristian vs. villanova,1101,1437
abilenechristian,virginia,abilenechristian vs. virginia,1101,1438
abilenechristian,virginiatech,abilenechristian vs. virginiatech,1101,1439
abilenechristian,westvirginia,abilenechristian vs. westvirginia,1101,1452
abilenechristian,winthrop,abilenechristian vs. winthrop,1101,1457
abilenechristian,wisconsin,abilenechristian vs. wisconsin,1101,1458
alabama,moreheadst,alabama vs. moreheadst,1104,1287
alabama,norfolkst,alabama vs. norfolkst,1104,1313
alabama,northcarolina,alabama vs. northcarolina,1104,1314
alabama,northtexas,alabama vs. northtexas,1104,1317
alabama,ohio,alabama vs. ohio,1104,1325
alabama,ohiost,alabama vs. ohiost,1104,1326
alabama,oklahoma,alabama vs. oklahoma,1104,1328
alabama,oklahomast,alabama vs. oklahomast,1104,1329
alabama,oralroberts,alabama vs. oralroberts,1104,1331
alabama,oregon,alabama vs. oregon,1104,1332
alabama,oregonst,alabama vs. oregonst,1104,1333
alabama,purdue,alabama vs. purdue,1104,1345
alabama,rutgers,alabama vs. rutgers,1104,1353
alabama,sandiegost,alabama vs. sandiegost,1104,1361
alabama,ucsantabarbara,alabama vs. ucsantabarbara,1104,1364
alabama,stbonaventure,alabama vs. stbonaventure,1104,1382
alabama,syracuse,alabama vs. syracuse,1104,1393
alabama,tennessee,alabama vs. tennessee,1104,1397
alabama,texas,alabama vs. texas,1104,1400
alabama,texastech,alabama vs. texastech,1104,1403
alabama,texassouthern,alabama vs. texassouthern,1104,1411
alabama,ucla,alabama vs. ucla,1104,1417
alabama,uncgreensboro,alabama vs. uncgreensboro,1104,1422
alabama,southerncalifornia,alabama vs. southerncalifornia,1104,1425
alabama,utahst,alabama vs. utahst,1104,1429
alabama,vcu,alabama vs. vcu,1104,1433
alabama,villanova,alabama vs. villanova,1104,1437
alabama,virginia,alabama vs. virginia,1104,1438
alabama,virginiatech,alabama vs. virginiatech,1104,1439
alabama,westvirginia,alabama vs. westvirginia,1104,1452
alabama,winthrop,alabama vs. winthrop,1104,1457
alabama,wisconsin,alabama vs. wisconsin,1104,1458
arkansas,moreheadst,arkansas vs. moreheadst,1116,1287
arkansas,norfolkst,arkansas vs. norfolkst,1116,1313
arkansas,northcarolina,arkansas vs. northcarolina,1116,1314
arkansas,northtexas,arkansas vs. northtexas,1116,1317
arkansas,ohio,arkansas vs. ohio,1116,1325
arkansas,ohiost,arkansas vs. ohiost,1116,1326
arkansas,oklahoma,arkansas vs. oklahoma,1116,1328
arkansas,oklahomast,arkansas vs. oklahomast,1116,1329
arkansas,oralroberts,arkansas vs. oralroberts,1116,1331
arkansas,oregon,arkansas vs. oregon,1116,1332
arkansas,oregonst,arkansas vs. oregonst,1116,1333
arkansas,purdue,arkansas vs. purdue,1116,1345
arkansas,rutgers,arkansas vs. rutgers,1116,1353
arkansas,sandiegost,arkansas vs. sandiegost,1116,1361
arkansas,ucsantabarbara,arkansas vs. ucsantabarbara,1116,1364
arkansas,stbonaventure,arkansas vs. stbonaventure,1116,1382
arkansas,syracuse,arkansas vs. syracuse,1116,1393
arkansas,tennessee,arkansas vs. tennessee,1116,1397
arkansas,texas,arkansas vs. texas,1116,1400
arkansas,texastech,arkansas vs. texastech,1116,1403
arkansas,texassouthern,arkansas vs. texassouthern,1116,1411
arkansas,ucla,arkansas vs. ucla,1116,1417
arkansas,uncgreensboro,arkansas vs. uncgreensboro,1116,1422
arkansas,southerncalifornia,arkansas vs. southerncalifornia,1116,1425
arkansas,utahst,arkansas vs. utahst,1116,1429
arkansas,vcu,arkansas vs. vcu,1116,1433
arkansas,villanova,arkansas vs. villanova,1116,1437
arkansas,virginia,arkansas vs. virginia,1116,1438
arkansas,virginiatech,arkansas vs. virginiatech,1116,1439
arkansas,westvirginia,arkansas vs. westvirginia,1116,1452
arkansas,winthrop,arkansas vs. winthrop,1116,1457
arkansas,wisconsin,arkansas vs. wisconsin,1116,1458
baylor,moreheadst,baylor vs. moreheadst,1124,1287
baylor,norfolkst,baylor vs. norfolkst,1124,1313
baylor,northcarolina,baylor vs. northcarolina,1124,1314
baylor,northtexas,baylor vs. northtexas,1124,1317
baylor,ohio,baylor vs. ohio,1124,1325
baylor,ohiost,baylor vs. ohiost,1124,1326
baylor,oklahoma,baylor vs. oklahoma,1124,1328
baylor,oklahomast,baylor vs. oklahomast,1124,1329
baylor,oralroberts,baylor vs. oralroberts,1124,1331
baylor,oregon,baylor vs. oregon,1124,1332
baylor,oregonst,baylor vs. oregonst,1124,1333
baylor,purdue,baylor vs. purdue,1124,1345
baylor,rutgers,baylor vs. rutgers,1124,1353
baylor,sandiegost,baylor vs. sandiegost,1124,1361
baylor,ucsantabarbara,baylor vs. ucsantabarbara,1124,1364
baylor,stbonaventure,baylor vs. stbonaventure,1124,1382
baylor,syracuse,baylor vs. syracuse,1124,1393
baylor,tennessee,baylor vs. tennessee,1124,1397
baylor,texas,baylor vs. texas,1124,1400
baylor,texastech,baylor vs. texastech,1124,1403
baylor,texassouthern,baylor vs. texassouthern,1124,1411
baylor,ucla,baylor vs. ucla,1124,1417
baylor,uncgreensboro,baylor vs. uncgreensboro,1124,1422
baylor,southerncalifornia,baylor vs. southerncalifornia,1124,1425
baylor,utahst,baylor vs. utahst,1124,1429
baylor,vcu,baylor vs. vcu,1124,1433
baylor,villanova,baylor vs. villanova,1124,1437
baylor,virginia,baylor vs. virginia,1124,1438
baylor,virginiatech,baylor vs. virginiatech,1124,1439
baylor,westvirginia,baylor vs. westvirginia,1124,1452
baylor,winthrop,baylor vs. winthrop,1124,1457
baylor,wisconsin,baylor vs. wisconsin,1124,1458
byu,moreheadst,byu vs. moreheadst,1140,1287
byu,norfolkst,byu vs. norfolkst,1140,1313
byu,northcarolina,byu vs. northcarolina,1140,1314
byu,northtexas,byu vs. northtexas,1140,1317
byu,ohio,byu vs. ohio,1140,1325
byu,ohiost,byu vs. ohiost,1140,1326
byu,oklahoma,byu vs. oklahoma,1140,1328
byu,oklahomast,byu vs. oklahomast,1140,1329
byu,oralroberts,byu vs. oralroberts,1140,1331
byu,oregon,byu vs. oregon,1140,1332
byu,oregonst,byu vs. oregonst,1140,1333
byu,purdue,byu vs. purdue,1140,1345
byu,rutgers,byu vs. rutgers,1140,1353
byu,sandiegost,byu vs. sandiegost,1140,1361
byu,ucsantabarbara,byu vs. ucsantabarbara,1140,1364
