team,id,x3fg,x3fga,apg,ast,bkpg,blks,fg_percent,fga,fgm,ft,fta,ft_percent,gm,l,w_l,pct,rank,reb,rpg,st,to,w,TeamNameSpelling,TeamID,ConfAbbrev
vcu,se_data/se_2021,162,492,13.5,338,5.4,136,45.3,1406,637,363,477,76.1,25,6,19-6,76,184,861,34.4,236,371,19,vcu,1433,a_ten
florida,se_data/se_2021,157,440,11.8,272,5.4,125,46.4,1303,605,334,441,75.7,23,9,14-9,60.9,242,809,35.2,168,337,14,florida,1196,sec
southerncalifornia,se_data/se_2021,183,526,13.7,396,5.3,153,46.7,1687,788,409,632,64.7,29,7,22-7,75.9,135,1145,39.5,139,361,22,southern california,1425,pac_twelve
uconn,se_data/se_2021,148,440,13,287,5.3,116,43.9,1323,581,286,391,73.1,22,7,15-7,68.2,242,839,38.1,136,258,15,uconn,1163,aac
rutgers,se_data/se_2021,157,505,13.8,359,5.2,136,45.1,1544,696,270,427,63.2,26,11,15-11,57.7,165,918,35.3,203,294,15,rutgers,1353,big_ten
arkansas,se_data/se_2021,214,623,14.9,403,5.1,139,45.6,1749,798,426,574,74.2,27,5,22-5,81.5,47,1077,39.9,217,352,22,arkansas,1116,sec
floridast,se_data/se_2021,173,449,14.8,310,5.1,108,47.1,1257,592,304,413,73.6,21,5,16-5,76.2,234,786,37.4,162,291,16,florida st,1199,acc
moreheadst,se_data/se_2021,197,562,12.7,382,5,150,46.1,1601,738,392,575,68.2,30,7,23-7,76.7,105,1125,37.5,132,459,23,morehead st,1287,ovc
tennessee,se_data/se_2021,159,473,15.2,366,5,119,44.7,1379,617,368,494,74.5,24,7,18-7,72,210,864,36,165,291,18,tennessee,1397,sec
syracuse,se_data/se_2021,203,598,15.3,382,4.9,123,44.1,1533,676,341,435,78.4,25,9,16-9,64,65,896,35.8,218,279,16,syracuse,1393,acc
utahst,se_data/se_2021,178,525,16.5,446,4.9,132,44.9,1631,732,353,489,72.2,27,7,20-7,74.1,139,1108,41,188,365,20,utah st,1429,mwc
northcarolina,se_data/se_2021,157,496,15.5,433,4.7,132,44.1,1761,776,410,614,66.8,28,10,18-10,64.3,178,1209,43.2,202,414,18,north carolina,1314,acc
texassouthern,se_data/se_2021,107,384,12.4,285,4.7,108,44.8,1386,621,366,524,69.8,23,8,15-8,65.2,286,953,41.4,165,371,15,texas southern,1411,swac
houston,se_data/se_2021,234,654,13.9,347,4.7,117,43.9,1543,677,341,465,73.3,25,3,22-3,88,31,1034,41.4,208,272,22,houston,1222,aac
iowa,se_data/se_2021,275,709,19.1,536,4.6,128,47.2,1775,837,409,575,71.1,28,7,21-7,75,17,1129,40.3,157,264,21,iowa,1234,big_ten
oklahomast,se_data/se_2021,172,508,13.1,355,4.4,120,46.6,1593,742,416,585,71.1,27,7,20-7,74.1,159,1051,38.9,195,433,20,oklahoma st,1329,big_twelve
virginia,se_data/se_2021,204,535,14,335,4.3,104,48,1266,608,227,278,81.7,24,6,18-6,75,128,762,31.8,118,226,18,virginia,1438,acc
michigan,se_data/se_2021,175,449,15.5,357,4.3,98,48.9,1325,648,290,377,76.9,23,3,20-3,87,234,863,37.5,103,264,20,michigan,1276,big_ten
alabama,se_data/se_2021,301,848,14.3,401,4.2,119,43.3,1794,776,381,530,71.9,28,6,22-6,78.6,1,1123,40.1,245,395,22,alabama,1104,sec
oralroberts,se_data/se_2021,294,754,12.7,329,4.1,106,45.4,1617,734,364,442,82.4,26,10,16-10,61.5,9,915,35.2,166,299,16,oral roberts,1331,summit
texastech,se_data/se_2021,168,485,13.1,353,4.1,110,44.3,1549,686,432,608,71.1,27,10,17-10,63,194,947,35.1,196,296,17,texas tech,1403,big_twelve
kansas,se_data/se_2021,209,608,13.7,383,4.1,114,44,1676,737,364,511,71.2,28,8,20-8,71.4,58,1064,38,192,346,20,kansas,1242,big_twelve
