team,season,id,x3fg,x3fga,apg,ast,bkpg,blks,fg_percent,fga,fgm,ft,fta,ft_percent,gm,l,w_l,pct,rank,reb,rpg,st,to,w,TeamNameSpelling,TeamID,ConfAbbrev
auburn,2019,se_data/se_2019,454,1204,14.3,572,4.8,190,45,2439,1097,540,760,71.1,40,10,30-10,75,162,1368,34.2,369,466,30,auburn,1120,sec
savannahst,2019,se_data/se_2019,351,1199,14.9,462,3.1,96,39.7,2080,825,359,531,67.6,31,20,11-20,35.5,291,1188,38.32,234,478,11,savannah st,1366,meac
savannahst,2019,se_data/se_2019,351,1199,14.9,462,3.1,96,39.7,2080,825,359,531,67.6,31,20,11-20,35.5,291,1188,38.32,234,478,11,savannah st.,1366,meac
savannahst,2019,se_data/se_2019,351,1199,14.9,462,3.1,96,39.7,2080,825,359,531,67.6,31,20,11-20,35.5,291,1188,38.32,234,478,11,savannah-st,1366,meac
villanova,2019,se_data/se_2019,380,1081,14,503,2.9,106,43.8,2019,884,506,695,72.8,36,10,26-10,72.2,101,1257,34.92,194,401,26,villanova,1437,big_east
thecitadel,2019,se_data/se_2019,370,1076,15.4,463,3.7,110,44.7,2011,899,385,523,73.6,30,18,12-18,40,79,1104,36.8,201,386,12,the citadel,1154,southern
thecitadel,2019,se_data/se_2019,370,1076,15.4,463,3.7,110,44.7,2011,899,385,523,73.6,30,18,12-18,40,79,1104,36.8,201,386,12,the-citadel,1154,southern
marshall,2019,se_data/se_2019,362,1058,14.3,528,4.6,170,44.2,2367,1047,522,723,72.2,37,14,23-14,62.2,120,1260,34.05,334,453,23,marshall,1267,cusa
presbyterian,2019,se_data/se_2019,394,1034,15.7,565,1.9,69,44.9,2150,966,491,674,72.8,36,16,20-16,55.6,100,1248,34.67,214,358,20,presbyterian,1342,big_south
buffalo,2019,se_data/se_2019,344,1022,16.6,599,3.9,140,46.2,2344,1083,527,767,68.7,36,4,32-4,88.9,245,1470,40.83,263,433,32,buffalo,1138,mac
winthrop,2019,se_data/se_2019,372,997,15.3,460,2.8,83,45.5,1878,855,417,565,73.8,30,12,18-12,60,71,1231,41.03,134,456,18,winthrop,1457,big_south
newmexicost,2019,se_data/se_2019,326,977,14.7,514,2.6,91,46,2092,962,484,714,67.8,35,5,30-5,85.7,283,1343,38.37,197,419,30,new mexico st,1308,wac
newmexicost,2019,se_data/se_2019,326,977,14.7,514,2.6,91,46,2092,962,484,714,67.8,35,5,30-5,85.7,283,1343,38.37,197,419,30,new mexico st.,1308,wac
newmexicost,2019,se_data/se_2019,326,977,14.7,514,2.6,91,46,2092,962,484,714,67.8,35,5,30-5,85.7,283,1343,38.37,197,419,30,new-mexico-st,1308,wac
purdue,2019,se_data/se_2019,365,977,14.4,518,4,143,45.1,2145,967,461,641,71.9,36,10,26-10,72.2,135,1338,37.17,220,382,26,purdue,1345,big_ten
creighton,2019,se_data/se_2019,372,961,16,561,2.6,92,47.9,2044,980,395,582,67.9,35,15,20-15,57.1,278,1196,34.17,237,465,20,creighton,1166,big_east
purduefortwayne,2019,se_data/se_2019,360,949,15.9,525,4.8,158,48.1,2059,991,386,557,69.3,33,15,18-15,54.5,219,1140,34.55,247,395,18,purdue fort wayne,1236,summit
charlestonso,2019,se_data/se_2019,324,945,14.3,487,3.2,110,42.9,2156,926,398,588,67.7,34,16,18-16,52.9,289,1277,37.56,263,441,18,charleston so,1149,big_south
charlestonso,2019,se_data/se_2019,324,945,14.3,487,3.2,110,42.9,2156,926,398,588,67.7,34,16,18-16,52.9,289,1277,37.56,263,441,18,charleston so.,1149,big_south
charlestonso,2019,se_data/se_2019,324,945,14.3,487,3.2,110,42.9,2156,926,398,588,67.7,34,16,18-16,52.9,289,1277,37.56,263,441,18,charleston-so,1149,big_south
elon,2019,se_data/se_2019,335,942,14.6,468,1.8,59,43.6,1861,812,307,443,69.3,32,21,11-21,34.4,218,1083,33.84,135,413,11,elon,1189,caa
houston,2019,se_data/se_2019,333,939,14.8,546,4.4,161,44.6,2203,982,490,697,70.3,37,4,33-4,89.2,184,1502,40.59,240,410,33,houston,1222,aac
