team_team,team_TeamSp,team_TeamID,team_x3fg,team_x3fga,team_blks,team_bkpg,team_ast,team_apg,team_opp_fg,team_opp_fga,team_opp_fg_percent,team_fgm,team_fga,team_fg_percent,team_o_rebs,team_d_rebs,team_reb,team_rpg,team_st,team_gm,team_w_l,team_to,team_topg,team_rank,team_w,team_l,team_pct
auburn,auburn,1120,454,1204,190,4.8,572,14.3,940,2153,43.7,1097,2439,45,465,903,1368,34.2,369,40,30-10,466,11.7,31,30,10,75
savannahst,savannahst,1366,351,1199,96,3.1,462,14.9,955,2063,46.3,825,2080,39.7,382,806,1188,38.32,234,31,11-20,478,15.4,281,11,20,35.5
villanova,villanova,1437,380,1081,106,2.9,503,14,877,2012,43.6,884,2019,43.8,371,886,1257,34.92,194,36,26-10,401,11.1,44,26,10,72.2
thecitadel,citadel,1154,370,1076,110,3.7,463,15.4,909,1969,46.2,899,2011,44.7,322,782,1104,36.8,201,30,12-18,386,12.9,256,12,18,40
marshall,marshall,1267,362,1058,170,4.6,528,14.3,1071,2340,45.8,1047,2367,44.2,329,931,1260,34.05,334,37,23-14,453,12.2,91,23,14,62.2
presbyterian,presbyterian,1342,394,1034,69,1.9,565,15.7,918,2056,44.6,966,2150,44.9,332,916,1248,34.67,214,36,20-16,358,9.9,136,20,16,55.6
buffalo,buffalo,1138,344,1022,140,3.9,599,16.6,916,2180,42,1083,2344,46.2,456,1014,1470,40.83,263,36,32-4,433,12,4,32,4,88.9
winthrop,winthrop,1457,372,997,83,2.8,460,15.3,842,1945,43.3,855,1878,45.5,330,901,1231,41.03,134,30,18-12,456,15.2,106,18,12,60
newmexicost,newmexico,1307,326,977,91,2.6,514,14.7,789,1882,41.9,962,2092,46,447,896,1343,38.37,197,35,30-5,419,12,5,30,5,85.7
newmexicost,newmexicost,1308,326,977,91,2.6,514,14.7,789,1882,41.9,962,2092,46,447,896,1343,38.37,197,35,30-5,419,12,5,30,5,85.7
purdue,purdue,1345,365,977,143,4,518,14.4,831,1997,41.6,967,2145,45.1,431,907,1338,37.17,220,36,26-10,382,10.6,44,26,10,72.2
creighton,creighton,1166,372,961,92,2.6,561,16,943,2063,45.7,980,2044,47.9,292,904,1196,34.17,237,35,20-15,465,13.3,129,20,15,57.1
purduefortwayne,fortwayne,1236,360,949,158,4.8,525,15.9,951,2093,45.4,991,2059,48.1,279,861,1140,34.55,247,33,18-15,395,12,141,18,15,54.5
purduefortwayne,purdue,1345,360,949,158,4.8,525,15.9,951,2093,45.4,991,2059,48.1,279,861,1140,34.55,247,33,18-15,395,12,141,18,15,54.5
charlestonso,charleston,1158,324,945,110,3.2,487,14.3,828,1931,42.9,926,2156,42.9,410,867,1277,37.56,263,34,18-16,441,13,156,18,16,52.9
charlestonso,charlestonso,1149,324,945,110,3.2,487,14.3,828,1931,42.9,926,2156,42.9,410,867,1277,37.56,263,34,18-16,441,13,156,18,16,52.9
elon,elon,1189,335,942,59,1.8,468,14.6,876,1935,45.3,812,1861,43.6,268,815,1083,33.84,135,32,11-21,413,12.9,288,11,21,34.4
houston,houston,1222,333,939,161,4.4,546,14.8,749,2035,36.8,982,2203,44.6,455,1047,1502,40.59,240,37,33-4,410,11.1,2,33,4,89.2
longwood,longwood,1255,333,939,71,2.1,401,11.8,806,1932,41.7,803,1875,42.8,291,903,1194,35.12,210,34,16-18,477,14,206,16,18,47.1
furman,furman,1202,338,935,137,4.2,524,15.9,818,1951,41.9,930,1962,47.4,326,844,1170,35.45,288,33,25-8,407,12.3,28,25,8,75.8
